word,rarity,pos,Definition,Sentence
dossing,4,verb,Present participle of doss.,
dotcoms,4,noun,Plural of dotcom.,
dottier,3,adj,Comparative of dotty.,
dotting,2,verb,Present participle of dot.,
doubled,3,verb,simple past and past participle of double,
doubles,3,noun,A game between pairs of players.,
doublet,3,noun,A pair of two similar or equal things; couple.,
doubted,3,adj,Considered doubtful; not trusted; uncertain.,"But I have heard sundry men say That he was the most doubted man, That in Carrick was living than."
doubter,3,noun,One who doubts.,
douched,3,verb,Past tense of douche.,
douches,3,noun,Plural of douche.,
doughty,3,adj,"Bold; brave, courageous.",
dourest,4,adj,Superlative of dour.,
dousing,4,verb,Present participle of douse.,
dovecot,4,noun,Alternative spelling of dovecote.,"In 1430 King's College, Cambridge, sells the pigeon's dung from its dovecot for 2s. 8d., in 1461 for 3s., in 1537 for 4s."
dowager,3,noun,A widow holding property or title derived from her late husband.,"A reclusive dowager owned the pastures across the river, and her farmhands ran beef cattle on them."
dowdier,4,adj,Comparative of dowdy.,
dowdily,3,adv,In a dowdy manner.,
doweled,4,verb,Past tense of dowel.,
dowered,3,verb,Past tense of dower.,
downers,3,noun,Plural of downer.,
downier,3,adj,Comparative of downy.,
downing,1,verb,Present participle of down.,
dowries,3,noun,Plural of dowry.,
dowsers,3,noun,Plural of dowser.,
dowsing,4,noun,"The practice of seeking water or other substances (usually liquid) with the aid of a forked stick or similar pointing device, as believed by some practitioners to derive from supernatural power.",
doxxing,3,verb,Present participle of doxx.,
doyenne,3,noun,A female doyen.,
dozenth,3,noun,A twelfth (1/12th).,
doziest,3,adj,Superlative of dozy.,
drabber,3,adj,Comparative of drab.,
drachma,4,noun,"The currency of Greece in ancient times and again from 1832 until 2001, with the symbol ₯, since replaced by the euro.",
drafted,2,verb,Past tense of draft.,
draftee,4,noun,"One who is drafted (into a military service, etc).",
drafter,3,noun,A person who prepares technical drawings and plans.,
dragged,2,verb,simple past and past participle of drag,
dragnet,3,noun,A net dragged across the bottom of a body of water.,
dragons,2,noun,Plural of dragon.,
dragoon,4,noun,"Synonym of dragon (“a type of musket with a short, large-calibre barrel and a flared muzzle, metaphorically exhaling fire like a mythical dragon”).",
drained,2,verb,Past tense of drain.,
drainer,4,noun,That which drains.,The radical shift in mentality is even more necessary when analysts see Education simply as a drainer of resources.
dramedy,3,noun,A genre of film or television that lies somewhere between drama and comedy.,
drapers,3,noun,Plural of draper.,
drapery,3,noun,Cloth draped gracefully in folds.,
draping,3,verb,Present participle of drape.,
drastic,3,adj,"Having a strong or far-reaching effect; extreme, severe.","If our third attempt fails, we may need drastic ideas."
dratted,3,adj,Expressing annoyance or irritation towards the mentioned thing.,
drawers,3,noun,plural of drawer,
drawing,2,verb,present participle and gerund of draw,
drawled,4,verb,Past tense of drawl.,
dreaded,3,adj,"Causing fear, dread, or terror.",I have got the dreaded flu.
dreamed,3,verb,simple past and past participle of dream,
dreamer,3,noun,One who dreams.,
dredged,3,verb,Past tense of dredge.,
dredger,3,noun,A vessel equipped for the removal of sand or sediment from the seabed.,
dredges,3,noun,Plural of dredge.,
dreidel,3,noun,"A four-sided spinning top, inscribed with the four Hebrew letters נ (nun), ג (gimel), ה (hey), and ש (shin) (or פ (pey)) on each side, often used to play a traditional game during the Jewish festival of Hanukkah.",
dressed,2,verb,simple past and past participle of dress,
dresser,3,noun,"An item of kitchen furniture, like a cabinet with shelves, for storing crockery or utensils.","The pewter plates on the dresser / Caught and reflected the flame, as shields of armies the sunshine."
dresses,2,noun,plural of dress,
dribble,3,verb,"In various ball games, to move (with) the ball, controlling its path by kicking or bouncing it repeatedly.",
driblet,3,noun,A small portion or part.,
drifted,3,verb,Past tense of drift.,
drifter,3,noun,A person who moves from place to place or job to job.,
drilled,2,verb,Past tense of drill.,
driller,3,noun,One who drills.,
drinker,3,noun,Someone who drinks alcoholic beverages on a regular basis.,
dripped,3,verb,Past tense of drip.,
drivels,3,verb,Third-person singular present tense of drivel.,
drivers,2,noun,plural of driver,
driving,2,verb,present participle and gerund of drive,
drizzle,3,verb,To rain lightly.,
drizzly,3,adj,Abounding with drizzle; drizzling.,
drogues,3,noun,Plural of drogue.,
droller,4,adj,Comparative of droll.,
droning,2,verb,Present participle of drone.,
drooled,3,verb,Past tense of drool.,
drooped,4,adj,Lacking stiffness.,
droplet,3,noun,A very small drop.,
dropout,3,noun,Someone who has left an educational institution without completing the course.,
dropped,2,verb,Past tense of drop.,
dropper,3,noun,A utensil for dispensing a single drop of liquid at a time.,
drought,3,noun,"A period of unusually low rainfall, longer and more severe than a dry spell.",His village had faced a drought twice.
drovers,4,noun,Plural of drover.,
drowned,3,verb,Past of drown.,
drowsed,3,verb,Past tense of drowse.,
drowses,3,verb,Third-person singular present tense of drowse.,
drubbed,3,verb,Past tense of drub.,
drubber,3,noun,A person who gives someone a drubbing.,
drudged,4,verb,Past tense of drudge.,
drudges,4,noun,Plural of drudge.,
drugged,2,verb,Past tense of drug.,
drumlin,4,noun,An elongated hill or ridge of glacial drift.,
drummed,2,verb,Past tense of drum.,
drummer,3,noun,One who plays the drums.,
drunken,3,verb,To make or become drunk or drunken; to intoxicate.,
drunker,2,adj,Comparative of drunk.,
dryness,3,noun,A lack of moisture.,
drywall,2,noun,"A building material comprising a sheet of gypsum sandwiched between two pieces of heavy paper, used mainly for interior walls and ceilings.",
dualism,4,noun,Duality; the condition of being double.,
duality,3,noun,A classification into two subclasses or opposed parts.,The novel explored the duality of good and evil.
dubbers,4,noun,Plural of dubber.,
dubbing,3,verb,Present participle of dub.,
dubiety,3,noun,Doubtfulness.,
dubious,3,adj,Arousing doubt; questionable; open to suspicion.,"After he made some dubious claims about the company, fewer people trusted him."
duchess,3,noun,The wife or widow of a duke.,
duchies,3,noun,Plural of duchy.,
duckier,3,adj,Comparative of ducky.,
duckies,3,noun,Plural of ducky.,
ducking,3,verb,present participle and gerund of duck,
ductile,4,adj,Capable of being pulled or stretched into thin wire by mechanical force without breaking.,"Gold is highly ductile, allowing it to be drawn into very fine wires."
dudgeon,4,noun,"A feeling of anger or resentment, especially haughty indignation.","All gentle folks who owe a grudge / To any living thing, / Open your ears and stay your trudge / Whilst I in dudgeon sing."
duelers,3,noun,Plural of dueler.,
dueling,3,verb,Present participle of duel.,
duelist,3,noun,A person who fights a duel.,
duennas,4,noun,Plural of duenna.,
duffels,3,noun,Plural of duffel.,
duffers,4,noun,Plural of duffer.,
duffing,3,verb,Present participle of duff.,
dugouts,3,noun,Plural of dugout.,
dukedom,3,noun,A region ruled by a duke or duchess.,
dullard,3,noun,A stupid person; a fool.,
dullest,3,adj,Superlative of dull.,
dulling,3,verb,Present participle of dull.,
dumbass,4,noun,A stupid or foolish person.,The dumbass walked off with my car keys and left me hers.
dumbest,2,adj,Superlative of dumb.,
dumbing,2,verb,Present participle of dumb.,
dumdums,3,noun,Plural of dumdum.,
dummies,3,noun,Plural of dummy.,
dumpers,3,noun,Plural of dumper.,
dumpier,3,adj,Comparative of dumpy.,
dumping,2,verb,Present participle of dump.,
dungeon,3,noun,"An underground prison or vault, typically built underneath a castle.",Year after year he lay patiently in a dungeon.
dunging,3,verb,Present participle of dung.,
dunking,4,verb,present participle and gerund of dunk,
dunnest,3,adj,Superlative of dun.,
dunning,3,verb,Present participle of dun.,
duopoly,3,noun,An economic condition in which two sellers exert most control over the market of a commodity.,
durable,3,adj,Able to resist wear or decay; lasting; enduring.,I forged a durable relationship with my seatmate.
durably,3,adv,In a durable manner.,
durians,4,noun,Plural of durian.,
duskier,3,adj,Comparative of dusky.,
dustbin,4,noun,A bin for holding rubbish until it can be collected; a garbage can.,
dusters,3,noun,Plural of duster.,
dustier,3,adj,Comparative of dusty.,
dusting,3,verb,present participle and gerund of dust,
dustman,3,noun,A person employed to collect refuse from people's homes and take it to be processed.,
dustmen,3,noun,Plural of dustman.,
dustpan,3,noun,"A flat scoop with a handle, into which dust, dirt and other material is conveyed with a brush or broom.",
dustups,4,noun,Plural of dustup.,
dutiful,2,adj,"Accepting of one's legal or moral obligations and willing to do them well, and without complaint.",
dwarfed,3,verb,Past tense of dwarf.,
dweller,3,noun,An inhabitant of a specific place; an inhabitant or denizen.,
dwindle,4,verb,"To decrease, shrink, diminish, reduce in size or intensity.",Their supplies began to dwindle after a week.
dynamic,2,adj,Changing; active; in motion.,"The environment is dynamic, changing with the years and the seasons."
dynamos,3,noun,Plural of dynamo.,
dynasty,3,noun,A series of rulers or dynasts from one family.,A dynasty is nothing but the successful orchestration of treachery.
eagerer,2,adj,Comparative of eager.,
eagerly,3,adv,In an eager manner.,"Heidi had been listening eagerly, with shining eyes."
eaglets,4,noun,Plural of eaglet.,
earache,2,noun,A pain in the middle or inner ear.,
earbuds,3,noun,Plural of earbud.,
eardrum,3,noun,A thin membrane that separates the outer ear from the middle ear and transmits sound from the air to the malleus.,
earfuls,3,noun,Plural of earful.,
earldom,3,noun,The rank of being an earl.,
earlier,1,adj,Comparative of early.,
earlobe,4,noun,Alternative spelling of ear lobe.,
earmark,2,noun,"A mark made or tag attached to the ear of an animal (chiefly a livestock animal), generally to identify or indicate something about the animal, such as ownership, health or gestation status, etc.",
earmuff,2,noun,A garment to keep the ears warm.,
earners,3,noun,Plural of earner.,
earnest,3,noun,Gravity; serious purpose; earnestness.,Take heed that this jest do not one day turn to earnest.
earning,2,verb,Ing of earn.,
earplug,4,noun,A piece of protective gear meant to be inserted in the ear canal to protect the wearer's hearing from loud noises or the intrusion of water.,
earring,3,noun,A piece of jewelry worn on the ear.,
earshot,4,noun,A distance from which sound is still audible.,I'll row out on the lake but stay within earshot.
earthed,4,adj,"Grounded, connected electrically to the ground.",
earthen,3,adj,Made of earth or mud.,
earthly,3,adj,"Relating to the earth or this world, as opposed to heaven; terrestrial.","The shadows of earth and earthly things, resting omen-like upon the waters, alone shewed which was the home and which the mirror of the celestial host."
earwigs,4,noun,Plural of earwig.,
earworm,3,noun,"A tune that keeps replaying in one's head or that one keeps thinking about, especially if unwanted.",
easiest,1,adj,Superlative of easy.,
eastern,2,adj,"Of, facing, situated in, or related to the east.",
eatable,3,adj,Able to be eaten; edible.,
ebonies,3,noun,Plural of ebony.,
echelon,3,noun,"A level or rank in an organization, profession, or society.",
echidna,4,noun,"Any of the species of small spined monotremes in the family Tachyglossidae, the four extant species of which are found in Australia and southern New Guinea.",
echoing,2,verb,Present participle of echo.,
eclairs,4,noun,Plural of eclair.,
eclipse,3,noun,"An alignment of astronomical objects whereby one object comes between the observer (or notional observer) and another object, thus obscuring the latter.",
eclogue,3,noun,"A pastoral poem, often in the form of a shepherd's monologue or a dialogue between shepherds.",
ecocide,3,noun,"The complete destruction of an ecosystem due to human activities, such as due to exploitation of resources, nuclear warfare, or the dumping of harmful chemicals.",
ecology,3,noun,The branch of biology dealing with the relationships of organisms with their environment and with each other.,"As in much of biology, the most satisfying truths in ecology derive from manipulative experimentation. Tinker with nature and quantify how it responds."
economy,2,noun,"The study of money, currency and trade, and the efficient use of resources.",He was learning about economy since 7th grade.
ecstasy,3,noun,Intense pleasure.,"In fact, Tarzan had never killed for “pleasure,” nor to him was there pleasure in killing. It was the joy of righteous battle that he loved—the ecstasy of victory."
edamame,3,noun,Fresh green soybeans boiled as a vegetable.,
eddying,3,verb,Present participle of eddy.,
edgiest,3,adj,Superlative of edgy.,
edibles,3,noun,Plural of edible.,
edifice,3,noun,"A building; a structure; an architectural fabric, especially a large and spectacular one.",
edified,4,verb,Past tense of edify.,
edifier,3,noun,A person who edifies.,
edifies,4,verb,Third-person singular present tense of edify.,
editing,2,verb,Present participle of edit.,
edition,2,noun,"A written work edited and published, as by a certain editor or in a certain manner, or at a certain time.","She wanted a copy of the Clericotes edition, but had to settle for the 1921 edition. She had never liked abridged editions."
editors,2,noun,Plural of editor.,
educate,3,verb,To instruct or train.,Wang said such changes to the Baishui glacier provide the chance to educate visitors about global warming.
educing,3,verb,Present participle of educe.,
eeriest,3,adj,Superlative of eerie.,
effaced,4,verb,Past tense of efface.,
effaces,4,verb,Third-person singular present tense of efface.,
effects,1,noun,Plural of effect.,
effendi,3,noun,An educated or well-respected man in an eastern Mediterranean or Arab country; often used as a title of respect or courtesy in Turkey or a former Ottoman territory.,
efforts,2,noun,Plural of effort.,
effused,3,verb,Past tense of effuse.,
effuses,3,verb,Third-person singular present tense of effuse.,
eggcups,4,noun,Plural of eggcup.,
egghead,4,noun,"A bald person, especially a man.","Then no one will know whether you are a genuine egghead or not. Besides, completely bald men are more sensual."
egoists,3,noun,Plural of egoist.,
egotism,4,noun,A tendency to talk excessively about oneself.,
egotist,3,noun,A person who talks excessively about themself.,
eighths,2,noun,Plural of eighth.,
ejected,3,verb,Past tense of eject.,
ejector,4,noun,"One who, or that which, ejects or dispossesses.",
elapsed,3,verb,simple past and past participle of elapse. Meaning: To pass or move by.,
elapses,4,verb,Third-person singular present tense of elapse.,
elastic,3,adj,"Capable of stretching; particularly, capable of stretching so as to return to an original shape or size when force is released.","The rope is somewhat elastic, so expect it to give when you pull on it."
elating,4,verb,Present participle of elate.,
elation,3,noun,An exhilarating psychological state of pride and optimism.,
elbowed,3,verb,Past tense of elbow.,
elderly,2,adj,old; having lived for relatively many years.,
elected,2,verb,Past tense of elect.,
elector,3,noun,"A person eligible to vote in an election; a member of an electorate, a voter.",
elegant,3,adj,Characterised by or exhibiting elegance.,
elegiac,4,adj,Of or relating to an elegy.,
elegies,3,noun,Plural of elegy.,
element,2,noun,"One of the simplest or essential parts or principles of which anything consists, or upon which the constitution or fundamental powers of anything are based.",The simplicity which is so large an element in a noble nature was laughed to scorn.
elevate,3,verb,To raise (something) to a higher position.,
elevens,2,noun,Plural of eleven.,
elicits,3,verb,Third-person singular present tense of elicit.,
eliding,4,verb,Present participle of elide.,
elision,3,noun,The deliberate omission of something.,
elitism,4,noun,The belief that a society or system should be run by an elite.,
elitist,3,adj,Of or relating to elitism.,
elixirs,3,noun,Plural of elixir.,
ellipse,4,noun,"A closed curve, the locus of a point such that the sum of the distances from that point to two other fixed points (called the foci of the ellipse) is constant; equivalently, the conic section that is the intersection of a cone with a plane that does not intersect the base of the cone.",
elodeas,4,noun,Plural of elodea.,
eloping,3,noun,An elopement.,
eluding,3,verb,Present participle of elude.,
elusive,3,adj,"Evading capture, comprehension or remembrance.",
emailed,2,verb,Past tense of email.,
emanate,4,verb,To come from a source; issue from.,
embalms,4,verb,Third-person singular present tense of embalm.,
embanks,4,verb,Third-person singular present tense of embank.,
embargo,3,noun,An order by the government prohibiting ships from leaving port.,
embarks,3,verb,Third-person singular present tense of embark.,
embassy,2,noun,The function or duty of an ambassador.,
emblems,3,noun,Plural of emblem.,
embower,3,verb,To enclose something or someone as if in a bower; shelter with foliage.,
embrace,2,verb,To clasp (someone or each other) in the arms with affection; to take in the arms; to hug.,
embroil,3,verb,"To bring (something) into a state of confusion or uproar; to complicate, to confuse, to jumble.",
embryos,3,noun,Plural of embryo.,
emended,3,verb,Past tense of emend.,
emerald,3,noun,"Any of various green gemstones, especially a green transparent form of beryl, highly valued as a precious stone.",
emerged,2,verb,simple past and past participle of emerge.,
emerges,3,verb,Third-person singular present tense of emerge.,
emerita,3,noun,"A female person who is retired from active service or an occupation, especially one who retains an honorific version of a previous title.",
emetics,4,noun,Plural of emetic.,
emigres,3,noun,Plural of emigre.,
eminent,3,adj,"Noteworthy, remarkable, great.",His eminent good sense has been a godsend to this project.
emirate,3,noun,A country ruled by an emir.,
emitted,3,verb,simple past and past participle of emit,
emitter,3,noun,That which emits something.,
emoting,3,verb,Present participle of emote.,
emotion,2,noun,"A person's internal state of being and involuntary physiological response to an object or a situation, based on or tied to physical state and sensory data.",
emotive,2,adj,Of or relating to emotion.,
empathy,3,noun,"Identification with or understanding of the thoughts, feelings, or emotional state of another person.",She had a lot of empathy for her neighbor; she knew what it was like to lose a parent too.
emperor,2,noun,The male monarch or ruler of an empire.,"In imperial China, it was often a responsibility of the emperor to evaluate his predecessor after the latter's death."
empires,2,noun,Plural of empire.,
empiric,3,adj,Empirical.,
employs,3,verb,Third-person singular present tense of employ.,
empower,3,verb,"To give permission, power, or the legal right to do something.","Regulations have been made under the Civil Aviation Acts of 1949, 1980 and 1982 which empower Inspectors of Accidents to do these things."
empress,3,noun,The female monarch (ruler) of an empire.,
emptied,2,verb,Past tense of empty.,
emptier,2,adj,Comparative of empty.,
emptily,3,adv,In an empty manner.,
emulate,3,verb,"To copy or imitate, especially a person.","People are endlessly fascinating, even if you'd never want to emulate them."
enabled,2,adj,Being capable for use or action; not disabled.,
enabler,3,noun,One who or that which helps something to happen.,
enables,2,verb,Third-person singular present tense of enable.,
enacted,3,verb,Past of enact.,
enamels,3,verb,Third-person singular present tense of enamel.,
enamors,3,verb,Third-person singular present tense of enamor.,
encamps,3,verb,Third-person singular present tense of encamp.,
encased,4,verb,Past tense of encase.,
encases,4,verb,Third-person singular present tense of encase.,
enchain,3,verb,"To restrain with, or as if with, chains.",
enchant,4,verb,"To attract and delight, to charm.",
enclave,3,noun,"A political, cultural or social entity or part thereof that is completely surrounded by another.",The Republic of San Marino is an enclave of Italy.
enclose,3,verb,"To surround with a wall, fence, etc.",
encoded,3,adj,Having a meaning that is different from a simple straightforward interpretation; acting as code for another meaning.,"Curiously, background sound can be quite complex without becoming confusing, because it comprises elements that vary from very encoded to highly embodied."
encoder,3,noun,A device or algorithm used to encode something.,
encodes,4,verb,third-person singular simple present indicative of encode,
encored,3,verb,Past tense of encore.,
encores,3,noun,Plural of encore.,
encrust,4,verb,To cover with a hard crust.,
encrypt,3,verb,To conceal information by means of a code or cipher.,
encysts,3,verb,Third-person singular present tense of encyst.,
endears,4,verb,Third-person singular present tense of endear.,
endemic,3,adj,Native to a particular area or culture; originating where it occurs.,The endemic religion of Easter Island arrived with the Polynesian settlers.
endgame,2,noun,"The final stage of a game of chess, when there are few pieces left.",
endings,2,noun,Plural of ending.,
endives,4,noun,Plural of endive.,
endless,2,adj,Having no end.,Trains from Lime Street to Edge Hill were hauled by an endless hempen rope worked by a stationary engine on the platform at the latter station.
endmost,3,adj,"last in a series, furthest away.",
endnote,3,noun,An annotation placed at the end of a document or chapter of a document.,
endorse,3,verb,"To express support or approval, especially officially or publicly; to give an endorsement.",
endowed,4,verb,Past tense of endow.,
enduing,3,verb,Present participle of endue.,
endured,3,verb,simple past and past participle of endure,
endures,3,verb,Third-person singular present tense of endure.,
enemies,2,noun,Plural of enemy.,
enfolds,3,verb,Third-person singular present tense of enfold.,
enforce,3,verb,"To keep up, impose or bring into effect something, not necessarily by force.",The police are there to enforce the law.
engaged,2,verb,simple past and past participle of engage,
engages,2,verb,Third-person singular present tense of engage.,
engines,2,noun,Plural of engine.,
engorge,4,verb,"To devour something greedily, gorge, glut.",
engrams,3,noun,Plural of engram.,
engrave,4,verb,"To carve text or symbols into (something), usually for the purposes of identification or art.",
engross,4,verb,"To write (a document) in large, aesthetic, and legible lettering; to make a finalized copy of.",
engulfs,4,verb,Third-person singular present tense of engulf.,
enhance,2,verb,To augment or make something greater.,
enigmas,3,noun,Plural of enigma.,
enjoins,3,verb,Third-person singular present tense of enjoin.,
enjoyed,1,verb,Past of enjoy.,
enlarge,3,verb,To make (something) larger.,We'll need to enlarge our budget if we want to include the helicopter ride in our holiday.
enlists,3,verb,Third-person singular present tense of enlist.,
enliven,4,verb,"To make more lively, cheerful or interesting.",
ennoble,3,verb,"To bestow with nobility, honour or grace.",
enplane,3,verb,To board an airplane.,
enqueue,4,verb,To add an item to a queue.,
enraged,4,verb,Past tense of enrage.,
enrages,4,verb,Third-person singular present tense of enrage.,
enrolls,3,verb,Third-person singular present tense of enroll.,
ensigns,3,noun,Plural of ensign.,
enslave,3,verb,To make subservient; to strip one of freedom; enthrall.,
ensnare,4,verb,To entrap; to catch in a snare or trap.,The Geese and the Cranes fed in the same meadow. A birdcatcher came to ensnare them in his nets.
ensuing,3,adj,"Refers to the actions, consequences, and repercussions which result from some prior stimulus or event.",
ensured,2,verb,Past of ensure.,
ensurer,3,noun,One who ensures or makes certain.,
ensures,2,verb,Third-person singular present tense of ensure.,
entails,3,verb,Third-person singular present tense of entail.,
entente,3,noun,An informal alliance or friendly understanding between two states.,
enteral,3,adj,"Of, pertaining to, within, or by way of the intestines; especially, the small intestine.",
entered,2,verb,Past of enter.,
enteric,4,adj,"Of, relating to, within, or by way of the intestines.",
enthuse,4,verb,To show enthusiasm.,
enticed,3,adj,Having been tempted; Finding something enticing.,"It is a world to see how commonly we are blinded with the collusions of women, and more enticed by their ornaments being artificial than their proportion being natural."
entices,3,verb,Third-person singular present tense of entice.,
entitle,3,verb,To give a title to.,
entombs,4,verb,Third-person singular present tense of entomb.,
entrant,2,noun,"A participant who enters something, such as a contest.",
entraps,4,verb,Third-person singular present tense of entrap.,
entreat,4,verb,"Senses relating to asking or pleading. To ask earnestly or beg for (something, such as a benefit or favour).",
entrees,4,noun,Plural of entree.,
entries,2,noun,plural of entry,
entropy,3,noun,A measure of the disorder present in a system. A measure of the disorder directly proportional to the natural logarithm of the number of microstates yielding an equivalent thermodynamic macrostate.,
entrust,3,verb,To trust to the care of.,Can I entrust you with a secret?
entwine,3,verb,To twist or twine around something (or one another).,
envelop,4,verb,"To surround, enclose or enfold.",
envenom,3,verb,To inject or put venom onto or into (someone or something).,
envious,3,adj,Feeling or exhibiting envy; jealously desiring the excellence or good fortune of another; maliciously grudging.,My soul is envious of mine eye.
envying,3,verb,Present participle of envy.,
enzymes,3,noun,Plural of enzyme.,
epicure,3,noun,A person who takes particular pleasure in fine food and drink.,
epigram,4,noun,A brief but witty saying.,
episode,2,noun,"An incident, action, or time period standing out by itself, but more or less connected with a complete series of events.",It was a most embarrassing episode in my life.
epistle,3,noun,"A literary composition in the form of a letter or series of letters, especially one in verse.",
epitaph,3,noun,An inscription on a gravestone in memory of the deceased.,
epithet,3,noun,A term used to characterize a person or thing.,"She would lean her head for hours on Beatrice's shoulder, only now and then applying to her some childish and endearing epithet."
epitome,3,noun,The embodiment or encapsulation of a class of items.,
epochal,3,adj,Of or pertaining to an epoch.,
epoxied,3,verb,Past tense of epoxy.,
epoxies,3,verb,Third-person singular present tense of epoxy.,
epsilon,3,noun,"The fifth letter of the Greek alphabet, ε or Ε, preceded by delta (Δ, δ) and followed by zeta (Ζ, ζ).",
equable,3,adj,"Unvarying, calm and steady; constant and uniform.",
equably,3,adv,In an equable manner.,
equaled,2,verb,Past tense of equal.,
equally,2,adv,In an equal manner; in equal shares or proportion; with equal and impartial justice; evenly,All citizens are equally taxed.
equated,3,verb,Past tense of equate.,
equates,3,verb,Third-person singular present tense of equate.,
equator,3,noun,"An imaginary great circle around Earth, equidistant from the two poles, and dividing earth's surface into the northern and southern hemispheres.","Baishui is about as close to the equator as Tampa, Florida."
equerry,3,noun,An officer responsible for the care and supervision of the horses of a person of rank.,
equines,3,noun,Plural of equine.,
equinox,3,noun,"One of two times in the year (one in March and the other in September) when the length of the day and the night are equal, which occurs when the sun is directly overhead at the equator; this marks the beginning of spring in one hemisphere and autumn in the other.",
erasers,3,noun,Plural of eraser.,
erasing,3,verb,Present participle of erase.,
erasure,3,noun,The action of erasing; deletion; obliteration.,"An inroad on the strongbox, or an erasure in the ledger, or a missummation in a fitted account, could hardly have surprised him more disagreeably."
erected,3,verb,simple past and past participle of erect,
erectly,3,adv,In an erect manner.,
erector,3,noun,"A person who, or a device which erects.",
eremite,4,noun,"A hermit; a religious recluse, someone who lives alone.",
ermines,4,noun,Plural of ermine.,
eroding,3,verb,Present participle of erode.,
erosion,3,noun,"The result of having been worn away or eroded, as by a glacier on rock or the sea on a cliff face.",Father Ted: The cliffs were gone? How could they just disappear? Dougal: Erosion.
erosive,3,adj,Of or pertaining to erosion.,
erotica,3,noun,"Erotic literature, art, decoration, or other such work.",There's a fine line between erotica and pornography.
errands,3,noun,Plural of errand.,
erratas,4,noun,Plural of errata.,
erratic,3,adj,"Unsteady, random; prone to unexpected changes; not consistent.","Henry has been getting erratic scores on his tests: 40% last week, but 98% this week."
erratum,4,noun,A published notice reporting an error belatedly discovered in a previous publication.,"When the journal's editors found out about the misreported details, they issued an erratum."
eructed,3,verb,Past tense of eruct.,
erudite,3,adj,"Learned, scholarly, with emphasis on knowledge gained from books.",The professor gave an erudite lecture that impressed everyone in the audience.
erupted,3,verb,Past tense of erupt.,
escaped,2,adj,"Having escaped, especially from prison or another place of confinement.",People are being warned not to approach the escaped prisoner.
escapee,4,noun,Someone who has become free through escaping imprisonment.,
escapes,2,verb,Third-person singular present tense of escape.,
eschews,4,verb,Third-person singular present tense of eschew.,
escorts,2,noun,Plural of escort.,
escrows,3,noun,Plural of escrow.,
escudos,4,noun,Plural of escudo.,
espouse,4,verb,To marry.,
espying,4,verb,Present participle of espy.,
esquire,2,noun,A male member of the gentry ranking below a knight.,
essayed,2,verb,Past tense of essay.,
essayer,4,noun,One who performs an essay; an experimenter.,
essence,2,noun,The inherent nature of a thing or idea.,The essence of Addison’s humour is irony.
estates,3,noun,plural of estate,
esteems,3,verb,Third-person singular present tense of esteem.,
estrous,3,adj,"Of, pertaining to, or in a state of estrus.",
estuary,3,noun,"A coastal water body where ocean tides and river water merge, resulting in a brackish water zone.","The railway then follows the widening estuary of the river, which at high tide has the appearance of a lake, but at low water presents a rather cheerless expanse of dark mud."
etchers,3,noun,Plural of etcher.,
etching,3,noun,The art of producing an image from a metal plate into which an image or text has been etched with acid.,
eternal,2,adj,Lasting forever; unending.,"But here again it is another question, quite different from our having an idea of eternity, to know whether there were any real being, whose duration has been eternal."
ethanol,3,noun,A simple aliphatic alcohol formally derived from ethane by replacing one hydrogen atom with a hydroxyl group: CH₃-CH₂-OH.,
ethical,2,adj,Of or relating to the study of ethics.,The philosopher Kant is particularly known for his ethical writings.
ethmoid,4,noun,"A light spongy cubical bone at the root of the nose, forming much of the walls of the nasal cavity and part of those of the orbits and having many perforations through which the olfactory nerves pass to the nose.",
ethnics,2,noun,Plural of ethnic.,
euchred,4,verb,Past tense of euchre.,
euchres,4,verb,Third-person singular present tense of euchre.,
eugenic,4,adj,Of or relating to eugenics.,
eunuchs,3,noun,Plural of eunuch.,
euphony,4,noun,A pronunciation of letters and syllables which is pleasing to the ear.,"Mandalay. In the name there was a euphony which beckoned to the imagination, yet this was the bitter, withered reality."
evacuee,3,noun,"A person who has been evacuated, especially a civilian evacuated from a dangerous place in time of war.",
evaders,3,noun,Plural of evader.,
evading,3,verb,Present participle of evade.,
evasion,3,noun,"The act of eluding or evading or avoiding, particularly the pressure of an argument, accusation, charge, or interrogation; artful means of eluding.",
evasive,3,adj,Tending to avoid speaking openly or making revelations about oneself.,
evenest,1,adj,Superlative of even.,
evening,2,noun,The time of day between afternoon and night.,"Toward evening, there was heavy rain."
evicted,3,verb,Past tense of evict.,
evident,3,adj,Obviously true by simple observation.,"It was evident she was angry, after she slammed the door."
evilest,2,adj,Superlative of evil.,
evinced,4,verb,Past tense of evince.,
evinces,4,verb,Third-person singular present tense of evince.,
evoking,3,verb,Present participle of evoke.,
evolved,3,verb,Past of evolve.,
evolves,3,verb,Third-person singular present tense of evolve.,
exabyte,3,noun,"One quintillion (10¹⁸, or 1,000,000,000,000,000,000) bytes or 1,000 petabytes.",
exacted,2,verb,Past tense of exact.,
exacter,2,adj,Comparative of exact.,
exactly,1,adv,Without approximation; precisely.,Measure exactly so we can be sure it is right.
exalted,3,verb,simple past and past participle of exalt,
examine,2,verb,To observe or inspect carefully or critically.,
example,1,noun,Something that is representative of all such things in a group.,
exceeds,3,verb,Third-person singular present tense of exceed.,
excepts,1,verb,Third-person singular present tense of except.,
excerpt,3,noun,"A clip, snippet, passage or extract from a larger work such as a news article, a film, or a literary composition.",
excised,3,verb,Past tense of excise.,
excises,3,noun,Plural of excise.,
